id,rL,rLrL,rQvrai
1,-1.05295,-1.04389,-1.00581
2,-1.08264,-1.06895,-1.06047
3,-1.26558,-1.22057,-1.22837
4,-0.80703,-0.83135,-0.85402
5,-1.31840,-1.26344,-1.26841
6,-1.22791,-1.18974,-1.18791
7,-0.97130,-0.97429,-0.96100
8,-0.74505,-0.77640,-0.75703
9,-0.76843,-0.79721,-0.73047
10,-0.93323,-0.94152,-0.98837
11,-1.23258,-1.19358,-1.21225
12,-1.26376,-1.21909,-1.25485
13,-1.44133,-1.36165,-1.24902
14,-1.17812,-1.14869,-1.18003
15,-0.85103,-0.87003,-0.92593
16,-0.76937,-0.79804,-0.72725
17,-0.69292,-0.72976,-0.68902
18,-0.83447,-0.85551,-0.85246
19,-1.17886,-1.14930,-1.19134
20,-0.91714,-0.92760,-0.92964
21,-0.63144,-0.67424,-0.68738
22,-0.93100,-0.93959,-0.92420
23,-0.77875,-0.80635,-0.73513
24,-0.68044,-0.71853,-0.68109
25,-1.19169,-1.15991,-1.13234
26,-0.83981,-0.86020,-0.82819
27,-0.81252,-0.83620,-0.83130
28,-0.79567,-0.82133,-0.70688
29,-1.02861,-1.02325,-1.09941
30,-1.27776,-1.23050,-1.21980
31,-1.32464,-1.26848,-1.33456
32,-0.68519,-0.72281,-0.65624
33,-1.19304,-1.16104,-1.23348
34,-0.50646,-0.55968,-0.62958
35,-1.07363,-1.06136,-1.01337
36,-1.22618,-1.18833,-1.15686
37,-1.51048,-1.41593,-1.43931
38,-1.22243,-1.18525,-1.20689
39,-1.60256,-1.48714,-1.53853
40,-1.32565,-1.26930,-1.18109
41,-0.86144,-0.87914,-0.85421
42,-1.14627,-1.12224,-1.13278
43,-1.27947,-1.23188,-1.24477
44,-1.00124,-0.99993,-1.00510
45,-0.69003,-0.72716,-0.67563
46,-0.58685,-0.63363,-0.58861
47,-0.86577,-0.88292,-0.94176
48,-0.86061,-0.87841,-0.84821
49,-1.07045,-1.05868,-1.06211
50,-0.56179,-0.61067,-0.64513
51,-1.30350,-1.25139,-1.21735
52,-1.02127,-1.01700,-1.07168
53,-1.35437,-1.29240,-1.30301
54,-0.84613,-0.86574,-0.85555
55,-0.96504,-0.96892,-1.00707
56,-0.64995,-0.69101,-0.77018
57,-0.78973,-0.81608,-0.83302
58,-1.05818,-1.04831,-1.10244
59,-1.22268,-1.18545,-1.12802
60,-0.79683,-0.82235,-0.79160
61,-1.06432,-1.05350,-1.00566
62,-0.77410,-0.80223,-0.84012
63,-0.97593,-0.97827,-1.01993
64,-0.92026,-0.93031,-0.98422
65,-1.17308,-1.14452,-1.10355
66,-0.91465,-0.92545,-0.87884
67,-0.32746,-0.39165,-0.37755
68,-0.72411,-0.75772,-0.81836
69,-1.05872,-1.04877,-0.94263
70,-0.94090,-0.94814,-0.97244
71,-1.24569,-1.20432,-1.21817
72,-0.53548,-0.58648,-0.61717
73,-0.77169,-0.80009,-0.82474
74,-1.24910,-1.20711,-1.19206
75,-1.07855,-1.06551,-1.16483
76,-0.48654,-0.54121,-0.55210
77,-1.03007,-1.02448,-0.96684
78,-0.67111,-0.71013,-0.74481
79,-1.35480,-1.29275,-1.20177
80,-0.80855,-0.83270,-0.79660
81,-0.97277,-0.97556,-0.97495
82,-0.69806,-0.73438,-0.73886
83,-0.86508,-0.88232,-0.82236
84,-0.84355,-0.86347,-0.74259
85,-1.31323,-1.25927,-1.33016
86,-0.68655,-0.72403,-0.68003
87,-0.80551,-0.83002,-0.85093
88,-0.99368,-0.99347,-1.08183
89,-1.05013,-1.04150,-1.08197
90,-1.03641,-1.02987,-0.97985
91,-0.69530,-0.73190,-0.80472
92,-0.37347,-0.43528,-0.39753
93,-0.85324,-0.87196,-0.85086
94,-0.81558,-0.83889,-0.86659
95,-0.80047,-0.82557,-0.82428
96,-1.43817,-1.35916,-1.27938
97,-0.92780,-0.93683,-0.92050
98,-1.21712,-1.18088,-1.19138
99,-0.95655,-0.96162,-0.99564
100,-0.82115,-0.84380,-0.80828
101,1.02133,1.02404,1.07650
102,1.13604,1.15662,1.12346
103,1.04689,1.05342,1.00130
104,1.04467,1.05087,1.05422
105,0.90603,0.89270,0.91603
106,1.19557,1.22618,1.21851
107,0.85082,0.83049,0.79285
108,1.06771,1.07742,1.10474
109,1.09412,1.10795,1.14248
110,1.08601,1.09856,1.05611
111,0.84275,0.82144,0.82243
112,1.18129,1.20945,1.22819
113,1.36742,1.42987,1.37311
114,0.87097,0.85314,0.87576
115,0.87257,0.85494,0.96795
116,1.18724,1.21642,1.11313
117,0.89241,0.87731,0.85872
118,0.74781,0.71560,0.70384
119,1.25000,1.29023,1.30562
120,1.02272,1.02563,0.95765
121,1.48347,1.56984,1.62770
122,1.17887,1.20661,1.14100
123,0.98433,0.98168,1.04170
124,0.51896,0.46589,0.49395
125,0.61432,0.56902,0.50290
126,0.87132,0.85353,0.87813
127,0.62017,0.57538,0.62097
128,0.87850,0.86162,0.78405
129,0.84564,0.82468,0.92979
