id,rL,rLrL,rQvrai
1,-1.21568,-1.17882,-1.18138
2,-1.18779,-1.15580,-1.20920
3,-0.98212,-0.98259,-0.93834
4,-1.03650,-1.02899,-1.01940
5,-0.74652,-0.77670,-0.73599
6,-0.77959,-0.80609,-0.83949
7,-1.46785,-1.38188,-1.38682
8,-1.04122,-1.03299,-1.08938
9,-0.56781,-0.61521,-0.69911
10,-0.98843,-0.98801,-0.98603
11,-0.93482,-0.94190,-0.99980
12,-1.17891,-1.14845,-1.09549
13,-0.18863,-0.25732,-0.31874
14,-0.92724,-0.93535,-0.88333
15,-1.54629,-1.44316,-1.55592
16,-0.90941,-0.91991,-0.94081
17,-0.93629,-0.94317,-0.89594
18,-0.74103,-0.77182,-0.78852
19,-0.59069,-0.63614,-0.63414
20,-1.01440,-1.01018,-1.01433
21,-1.21373,-1.17722,-1.21964
22,-0.79299,-0.81795,-0.88130
23,-0.97899,-0.97991,-1.05157
24,-0.99065,-0.98990,-0.93970
25,-1.41555,-1.34051,-1.37565
26,-1.57582,-1.46601,-1.44515
27,-1.32341,-1.26669,-1.19781
28,-0.45664,-0.51243,-0.50723
29,-0.56988,-0.61710,-0.58211
30,-0.35969,-0.42134,-0.38192
31,-1.12494,-1.10352,-1.03998
32,-1.00050,-0.99832,-1.10894
33,-1.21922,-1.18174,-1.01697
34,-0.90717,-0.91797,-0.90836
35,-1.27476,-1.22722,-1.24834
36,-0.40390,-0.46304,-0.37718
37,-1.13917,-1.11541,-1.14583
38,-0.68089,-0.71793,-0.73770
39,-0.86618,-0.88228,-0.75419
40,-0.76674,-0.79469,-0.71419
41,-1.20656,-1.17131,-1.13465
42,-0.85156,-0.86949,-0.85286
43,-1.25612,-1.21200,-1.19182
44,-1.29253,-1.24167,-1.21355
45,-0.70364,-0.73837,-0.77127
46,-1.53694,-1.43590,-1.42356
47,-0.86682,-0.88283,-0.94832
48,-0.70185,-0.73677,-0.75953
49,-1.00986,-1.00632,-1.08304
50,-0.79613,-0.82072,-0.73571
51,-1.10539,-1.08714,-1.16893
52,-1.17572,-1.14581,-1.15909
53,-0.94276,-0.94875,-0.95505
54,-0.66930,-0.70749,-0.65658
55,-1.15745,-1.13064,-1.06561
56,-0.79502,-0.81974,-0.86582
57,-0.83564,-0.85552,-0.84022
58,-0.63098,-0.67282,-0.73455
59,-0.93027,-0.93797,-1.03597
60,-1.01202,-1.00815,-1.03410
61,-1.13381,-1.11093,-1.07986
62,-0.54989,-0.59876,-0.57264
63,-1.26745,-1.22126,-1.24971
64,-1.24541,-1.20324,-1.17875
65,-1.38959,-1.31983,-1.32651
66,-0.74159,-0.77231,-0.74864
67,-1.13320,-1.11042,-1.10806
68,-0.85004,-0.86816,-0.81069
69,-0.77770,-0.80442,-0.77089
70,-1.08498,-1.06998,-1.03659
71,-0.81642,-0.83862,-0.82721
72,-1.10558,-1.08730,-1.13768
73,-1.06729,-1.05506,-1.13618
74,-1.07434,-1.06101,-1.15778
75,-1.05341,-1.04333,-1.04193
76,-1.00859,-1.00523,-1.05050
77,-0.97572,-0.97711,-0.90847
78,-0.50799,-0.56012,-0.58958
79,-0.69981,-0.73494,-0.73914
80,-1.10774,-1.08911,-1.05736
81,-0.53391,-0.58405,-0.62765
82,-0.91978,-0.92889,-0.90747
83,-0.70458,-0.73922,-0.77500
84,-0.94726,-0.95264,-0.99287
85,-1.55303,-1.44839,-1.41633
86,-1.14611,-1.12120,-1.17685
87,-0.73919,-0.77017,-0.64318
88,-1.03470,-1.02746,-0.97197
89,-0.87500,-0.88997,-0.89743
90,-0.89335,-0.90596,-0.86046
91,-1.30375,-1.25078,-1.34070
92,-0.91502,-0.92477,-0.86759
93,-1.15900,-1.13192,-1.13691
94,-0.24120,-0.30818,-0.20161
95,-1.12332,-1.10216,-1.15305
96,-1.01092,-1.00722,-0.96276
97,-0.97354,-0.97524,-0.87301
98,-0.78803,-0.81357,-0.71852
99,-1.07031,-1.05761,-1.07201
100,-0.56546,-0.61306,-0.60801
101,1.02024,1.02176,1.06265
102,0.80911,0.78321,0.82861
103,0.80418,0.77772,0.75070
104,0.83746,0.81487,0.84011
105,0.83087,0.80750,0.82770
106,0.84739,0.82599,0.76647
107,1.37214,1.43361,1.39715
108,0.64532,0.60258,0.55304
109,0.87732,0.85958,0.83031
110,0.76678,0.73616,0.68192
111,0.87604,0.85815,0.80949
112,0.99600,0.99405,0.98314
113,1.20108,1.23118,1.28686
114,0.55188,0.50125,0.51115
115,1.14093,1.16101,1.15758
116,1.16182,1.18533,1.15194
117,1.02108,1.02273,1.04347
118,0.79689,0.76961,0.81641
119,1.26321,1.30423,1.23441
120,0.46838,0.41177,0.41693
121,1.12108,1.13796,1.17616
122,1.40131,1.46855,1.50142
123,0.91241,0.89913,0.95593
124,1.41584,1.48600,1.45812
125,0.51067,0.45696,0.46389
126,1.40819,1.47681,1.36951
127,0.46666,0.40994,0.36943
128,1.05804,1.06515,1.07378
129,0.89115,0.87515,0.85747
130,0.78681,0.75840,0.67384
131,0.91531,0.90240,0.87012
132,1.63704,1.75540,1.76822
133,1.01946,1.02087,1.00727
134,0.72096,0.68552,0.68636
135,1.04208,1.04680,1.04148
136,0.88941,0.87318,0.88342
137,0.89273,0.87693,0.93607
138,1.19401,1.22291,1.17916
139,0.98674,0.98348,1.04839
140,0.68565,0.64670,0.75164
141,0.88446,0.86762,0.93510
142,0.42997,0.37095,0.30072
143,0.82626,0.80236,0.81183
144,1.25119,1.29004,1.31663
145,0.47183,0.41544,0.38573
146,1.37003,1.43109,1.41761
147,0.94457,0.93553,0.92736
148,0.75810,0.72655,0.84285
149,1.01491,1.01566,1.02139
150,1.11451,1.13034,1.16254
151,0.40750,0.34716,0.37498
152,1.14427,1.16489,1.10658
153,0.79206,0.76424,0.71066
154,0.75795,0.72638,0.63928
155,0.87940,0.86193,0.85622
156,0.50595,0.45190,0.43354
157,0.50643,0.45242,0.53964
158,1.49279,1.57892,1.60417
159,1.13465,1.15371,1.09106
160,1.12894,1.14708,1.17828
161,0.86362,0.84419,0.94502
162,0.82002,0.79539,0.76593
163,0.80010,0.77318,0.77366
164,0.66931,0.62880,0.63294
165,0.77134,0.74121,0.75690
