id,rL,rLrL,rQvrai
1,-0.88507,-0.90229,-0.89182
2,-0.97744,-0.98154,-0.88415
3,-0.98044,-0.98409,-0.98467
4,-0.68898,-0.72971,-0.73488
5,-1.02811,-1.02445,-1.02992
6,-1.27794,-1.23026,-1.24490
7,-1.07951,-1.06758,-0.98628
8,-0.99463,-0.99614,-0.94058
9,-1.13373,-1.11263,-1.15884
10,-0.57515,-0.62682,-0.54746
11,-1.17232,-1.14442,-1.09993
12,-1.63404,-1.50703,-1.38013
13,-0.89024,-0.90676,-0.88556
14,-0.63033,-0.67695,-0.67747
15,-0.98161,-0.98509,-0.97190
16,-0.61798,-0.66577,-0.61098
17,-0.96685,-0.97251,-1.02583
18,-0.70387,-0.74303,-0.78942
19,-1.10703,-1.09050,-1.10902
20,-1.32341,-1.26669,-1.36033
21,-1.44335,-1.36125,-1.32512
22,-0.69299,-0.73330,-0.66274
23,-1.39930,-1.32678,-1.37270
24,-0.98034,-0.98400,-0.95321
25,-0.83978,-0.86296,-0.87085
26,-0.57851,-0.62989,-0.67916
27,-0.90984,-0.92367,-0.90783
28,-0.61641,-0.66435,-0.75663
29,-1.32662,-1.26925,-1.22706
30,-0.41803,-0.48153,-0.51413
31,-0.72184,-0.75904,-0.71277
32,-0.81501,-0.84131,-0.84746
33,-1.14528,-1.12217,-1.17608
34,-1.11075,-1.09359,-1.17478
35,-0.58466,-0.63550,-0.67542
36,-1.14885,-1.12511,-1.08337
37,-0.94247,-0.95169,-1.01109
38,-0.99208,-0.99398,-0.98718
39,-0.74884,-0.78302,-0.80607
40,-0.52253,-0.57858,-0.59150
41,-0.71621,-0.75403,-0.78668
42,-1.18492,-1.15475,-1.09895
43,-1.33845,-1.27866,-1.35867
44,-1.11434,-1.09657,-1.14391
45,-1.20335,-1.16982,-1.18424
46,-0.91905,-0.93159,-1.00047
47,-1.02151,-1.01888,-0.96584
48,-0.78854,-0.81808,-0.68372
49,-0.22449,-0.29734,-0.30393
50,-1.63050,-1.50438,-1.42147
51,-0.99239,-0.99424,-1.01285
52,-1.06218,-1.05308,-0.94289
53,-0.77027,-0.80198,-0.78919
54,-0.80957,-0.83655,-0.81266
55,-0.38874,-0.45403,-0.46103
56,-1.21874,-1.18236,-1.15949
57,-1.89028,-1.69414,-1.79467
58,-0.83959,-0.86279,-0.87482
59,-0.85829,-0.87907,-0.93737
60,-1.31003,-1.25600,-1.22489
61,-1.08833,-1.07494,-1.11895
62,-1.06840,-1.05829,-1.05611
63,-1.20696,-1.17276,-1.13702
64,-1.13205,-1.11124,-1.10025
65,-0.43855,-0.50072,-0.59687
66,-1.33245,-1.27389,-1.26984
67,-1.11980,-1.10110,-1.05203
68,-1.13697,-1.11531,-1.22125
69,-1.08304,-1.07052,-0.98380
70,-0.84242,-0.86526,-0.93358
71,-0.43478,-0.49720,-0.50603
72,-0.89485,-0.91074,-0.85823
73,-1.07639,-1.06497,-1.02433
74,-0.41514,-0.47882,-0.50248
75,-0.91869,-0.93129,-0.97043
76,-0.83944,-0.86266,-0.86043
77,-1.27221,-1.22565,-1.12757
78,-0.95127,-0.95922,-0.97240
79,-0.77828,-0.80904,-0.78095
80,-0.18757,-0.26155,-0.37543
81,-0.64839,-0.69325,-0.63232
82,-1.08953,-1.07594,-1.04800
83,-0.83567,-0.85937,-0.90380
84,-0.81417,-0.84057,-0.80695
85,-0.73576,-0.77142,-0.84473
86,-1.14435,-1.12140,-1.11939
87,-1.02242,-1.01965,-1.03225
88,-1.26608,-1.22071,-1.18017
89,-0.95244,-0.96021,-0.91090
90,-1.26171,-1.21718,-1.16351
91,-1.15433,-1.12963,-1.22783
92,-1.04472,-1.03843,-1.10141
93,-1.02350,-1.02056,-1.03385
94,-1.14673,-1.12337,-1.15238
95,-0.66770,-0.71063,-0.69756
96,-0.81963,-0.84535,-0.85678
97,-1.14948,-1.12563,-1.00149
98,-0.43068,-0.49337,-0.53957
99,-1.08886,-1.07538,-1.06532
100,-1.25164,-1.20905,-1.15496
101,0.76949,0.73935,0.64958
102,0.76907,0.73888,0.72756
103,1.51516,1.61677,1.57055
104,0.46383,0.40438,0.49871
105,0.89644,0.88269,0.82931
106,0.90895,0.89695,0.80745
107,1.25389,1.29961,1.25550
108,0.71767,0.68155,0.68501
109,1.03848,1.04601,1.03346
110,1.01427,1.01795,0.97521
111,1.19169,1.22564,1.31429
112,0.91334,0.90196,0.89072
113,0.94383,0.93684,0.93105
114,0.89017,0.87555,0.85286
115,1.04175,1.04981,0.96368
116,0.80193,0.77574,0.83971
117,1.19563,1.23032,1.27957
118,1.19583,1.23055,1.21208
119,0.90004,0.88679,0.87173
120,0.69559,0.65704,0.54244
121,0.57923,0.52916,0.51888
122,0.77364,0.74400,0.69927
123,0.86184,0.84338,0.80393
124,1.21838,1.25731,1.17653
125,1.04345,1.05178,1.07052
126,1.18683,1.21990,1.22715
127,0.80451,0.77864,0.77608
128,1.02494,1.03031,1.04452
129,1.08632,1.10172,1.20670
130,0.65291,0.60990,0.51929
131,0.78239,0.75380,0.70613
132,1.21654,1.25513,1.33808
133,1.25139,1.29662,1.38041
134,0.80098,0.77467,0.71713
135,0.99990,1.00135,1.03073
136,1.01124,1.01445,1.03299
137,1.32252,1.38190,1.28195
138,1.11126,1.13090,1.10484
139,1.48592,1.58075,1.52291
140,1.23197,1.27348,1.29900
141,1.16187,1.19040,1.28808
142,1.05441,1.06452,1.01570
143,1.36151,1.42898,1.46780
144,0.61169,0.56462,0.52312
145,0.90271,0.88984,0.82840
146,1.17357,1.20421,1.39414
147,0.66662,0.62501,0.51771
148,1.05755,1.06817,1.07049
149,0.30549,0.23651,0.22591
150,0.80096,0.77465,0.78208
151,0.88628,0.87113,0.91256
152,0.97302,0.97036,0.98154
153,1.06059,1.07171,1.04477
154,0.71273,0.67606,0.71547
155,1.47268,1.56449,1.54399
156,0.61840,0.57197,0.53781
157,0.87731,0.86093,0.98344
158,1.40800,1.48541,1.42597
159,1.16602,1.19529,1.33384
160,0.83421,0.81212,0.77939
161,1.35449,1.42049,1.40118
162,1.37848,1.44954,1.34892
163,0.88225,0.86655,0.79814
164,1.09970,1.11736,1.07065
165,1.18423,1.21682,1.25051
166,0.56511,0.51378,0.60201
167,0.40915,0.34598,0.35874
168,0.88471,0.86935,0.79466
169,1.03990,1.04765,1.04189
170,0.88538,0.87011,0.91369
171,1.33049,1.39151,1.38079
172,1.20334,1.23946,1.25979
173,0.76348,0.73263,0.76744
174,1.18934,1.22286,1.24447
175,0.90594,0.89352,0.88182
176,0.81703,0.79274,0.73970
177,0.86216,0.84374,0.76602
178,0.54680,0.49389,0.47655
179,0.43249,0.37085,0.33385
180,0.98310,0.98197,1.01833
181,0.79487,0.76781,0.75590
182,1.06156,1.07284,1.06483
183,0.82956,0.80686,0.79565
184,1.19163,1.22558,1.22166
185,0.70638,0.66901,0.64782
186,0.68880,0.64953,0.72480
187,1.04754,1.05653,1.09531
188,1.10606,1.12481,1.11080
189,0.52567,0.47100,0.52172
190,1.15273,1.17963,1.35610
191,0.50036,0.44366,0.41692
192,1.32703,1.38733,1.43210
193,0.50401,0.44760,0.39088
194,0.47192,0.41307,0.40949
195,1.35534,1.42152,1.48706
196,1.26830,1.31683,1.28166
197,1.06950,1.08209,1.17130
198,0.89815,0.88463,0.89918
199,1.06181,1.07313,1.12577
200,0.68534,0.64570,0.61033
