rL,id
-0.10666,1
0.44794,2
1.68559,3
-1.36843,4
-1.59600,5
-0.46409,6
-0.09986,7
0.08527,8
-0.24464,9
0.36276,10
0.00321,11
0.53426,12
-0.51489,13
1.15544,14
0.42688,15
-1.02616,16
1.53197,17
-1.01469,18
0.21959,19
-1.37023,20
-0.30601,21
0.25397,22
-0.18004,23
1.16053,24
0.58277,25
-0.66938,26
1.27925,27
-0.28218,28
0.23163,29
-1.23659,30
-0.06230,31
1.26083,32
-0.13989,33
-0.47019,34
1.12104,35
-0.04111,36
1.02325,37
1.21746,38
-1.26734,39
0.65209,40
-0.39117,41
1.66971,42
0.14375,43
-0.78046,44
-0.36758,45
0.72964,46
-0.09001,47
0.63055,48
1.08591,49
0.34539,50
-2.62103,51
0.45699,52
-0.04148,53
0.16813,54
-0.89609,55
-1.19052,56
0.34307,57
0.51777,58
0.42439,59
2.87759,60
0.58819,61
-1.10644,62
0.68919,63
0.65555,64
-1.83693,65
-1.84102,66
0.38989,67
-1.39885,68
-0.27746,69
-0.39336,70
1.29075,71
0.10734,72
0.25964,73
-1.09595,74
1.25374,75
-0.97420,76
-0.13193,77
-0.96500,78
-0.17007,79
-0.62833,80
-1.90491,81
-0.68226,82
-2.10580,83
0.34276,84
-0.11364,85
-0.33805,86
0.46131,87
0.92937,88
1.74471,89
0.83596,90
-1.64104,91
-0.49554,92
2.04035,93
0.70110,94
1.73545,95
-1.00299,96
-0.61069,97
0.61666,98
-0.92970,99
0.21261,100
