Gene,_LABEL_,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96,id97,id98,id99,id100
X1,"ST.NORMAL VAR., M=0, STD=1",-0.30123,0.18747,-0.83785,1.77034,0.57661,-1.32643,1.31251,0.12773,0.19047,0.11967,1.36708,0.44423,0.28708,0.04915,-0.88172,1.23865,-0.62134,0.43389,1.18332,-1.03666,-0.00034,1.01236,0.67938,0.68387,-1.11153,-0.44825,-0.03176,1.46938,-0.15504,0.07143,-0.64256,-1.85252,-0.09202,0.22446,-0.59301,-0.83499,-1.04115,0.71935,0.80653,0.13123,0.71880,-0.13594,-0.10832,-0.40924,-1.13501,-2.03578,-1.05365,0.08883,1.40332,-2.12706,0.58747,-0.62942,1.03333,-1.95359,-0.17149,-0.12946,-1.16626,-1.27846,-2.63577,-0.09964,-2.05260,-0.62143,0.71161,0.03365,0.05394,-0.50287,-0.04905,1.74001,-1.49724,-0.55072,0.61777,0.22738,1.36165,0.58278,-0.13286,-1.96704,0.66409,1.51529,1.64068,-0.89177,1.07280,-0.54629,0.70731,-0.11885,-0.95253,0.09181,0.65751,-0.63691,0.03583,-0.67406,-0.04730,-0.06694,-0.05946,-0.58775,-0.07554,-0.20968,0.37751,0.80351,0.19379,0.80974
X2,"ST.NORMAL VAR., M=0, STD=1",0.04777,0.32291,-2.70423,-0.22293,1.43059,-1.85113,-0.42826,-0.12591,0.47776,0.90692,0.93776,-1.35283,0.04777,-0.10362,0.36176,0.00171,-1.31254,-0.20350,1.35051,0.18837,1.10704,-0.75601,-0.43830,0.88894,-1.59128,0.00234,0.82233,0.52130,-1.08655,-0.95387,-0.23149,-0.52270,-0.84272,-1.13969,-0.89973,-1.71945,0.30550,1.70570,0.60151,0.51279,0.95880,-0.14105,-0.97782,-0.67578,0.03116,-1.76789,-0.04111,-0.20658,1.03249,-0.26972,1.45309,-0.55005,-0.00559,-0.77912,-0.85626,0.00565,-1.05806,0.24481,-1.56524,-0.50108,0.24969,-0.96304,-1.13325,-0.80753,0.42497,0.61043,-0.46728,0.66036,-1.80189,-0.06113,0.78998,-0.09974,0.53339,-0.33791,0.68117,-0.82214,-1.16393,2.90489,1.71257,-0.60207,1.69994,-0.18648,-0.39065,1.04737,-0.66833,0.04710,0.94662,-1.04757,-0.29107,-0.44888,-0.50956,-1.28356,1.36089,-0.25570,-0.58046,-0.87249,1.32386,-0.15393,0.49677,-0.96971
X3,"ST.NORMAL VAR., M=0, STD=1",0.91460,-0.68177,-1.49484,0.21551,0.48015,-0.35345,1.47016,1.84641,0.75289,1.15008,-0.15779,0.16218,0.10958,-0.72570,-0.84673,0.86228,-1.80083,0.14888,1.25858,-2.92308,-0.31680,1.47643,-0.64033,-0.14031,-0.55728,-0.67965,0.33157,1.96775,-1.17090,2.05484,-2.22095,-0.43015,-1.47577,0.27764,-1.14673,-1.26077,-1.54129,1.60947,0.06225,0.41118,0.44473,0.48269,-0.03646,-0.24281,0.58947,-1.57924,-0.39258,0.19534,0.31257,-0.58679,0.49483,0.37878,-0.07808,-1.28406,-1.72521,1.87955,0.01224,0.37622,-1.58799,0.63613,-1.70744,0.22618,-0.30497,-0.69531,0.52044,0.91544,0.44592,0.78254,-1.67468,-0.11997,0.82353,0.65600,0.65372,0.87199,-0.26170,-2.32503,-1.12114,1.52428,0.09947,-2.03169,2.05688,1.90257,0.11497,-1.38989,-1.19572,0.52439,1.38653,-0.26659,1.53565,-0.13554,0.09073,-0.63739,0.06901,-0.72181,-1.48099,0.73756,1.15249,0.54235,-0.20928,-0.20929
X4,"ST.NORMAL VAR., M=0, STD=1",0.25223,-1.33704,-1.94203,0.36711,0.28096,-1.77951,1.23807,1.35681,1.27498,-0.12076,0.90416,-0.19410,-1.13288,1.23198,-0.82124,0.78225,-0.62335,0.43949,1.23044,0.14300,-0.03854,-0.03243,-0.21447,0.86253,-1.25456,-0.06564,0.02694,1.48327,-1.66608,0.67088,-0.54372,0.41307,-0.91399,-0.65696,-0.17405,-0.27559,-1.84319,1.33458,-0.56704,0.89878,0.68544,0.64154,1.17990,-0.34670,1.78605,-1.40927,-0.74662,0.02943,0.56345,-1.03709,1.04294,-0.49075,-0.27611,-0.49051,-1.01274,-0.74364,-0.51034,-0.20176,-1.76630,0.10300,-0.92340,-0.33661,-0.05114,-1.31814,1.32753,0.21505,-1.75420,0.51692,-1.16484,-0.03182,-0.14809,-0.83558,0.42510,0.36185,0.11933,-1.46828,0.90273,1.68518,0.56901,-0.34626,3.79386,1.28163,-0.12238,0.09010,-0.71848,0.37496,2.09814,-0.66817,1.54810,-0.76140,0.83284,0.38121,-0.66374,-0.56865,-1.07742,0.37714,1.62401,-0.78525,-0.46738,0.80873
X5,"ST.NORMAL VAR., M=0, STD=1",0.93737,-0.42332,-0.58102,0.16965,0.05560,-0.39661,1.15111,1.18776,0.38593,-0.15445,-0.16024,0.51111,-0.49606,0.36956,-0.60312,-0.40064,-1.53511,1.18548,1.08483,0.02121,-0.50513,-0.35394,-0.68960,0.16101,1.12495,-0.64695,0.02289,2.60175,-0.81767,-1.14992,-0.89297,-0.17875,-1.86841,-0.24717,0.59900,-0.64668,-1.72253,0.67542,-1.43484,-0.49336,-0.83927,-1.71386,0.11971,-0.17711,0.66121,-2.29253,-1.28654,-1.60616,1.37048,-1.82270,0.35533,0.41422,1.23171,-0.89157,-1.38897,0.37208,-1.55604,-0.42351,-1.87406,0.91458,-0.51735,-0.05052,-0.64383,-0.92722,1.49665,0.29636,-0.28360,1.05270,-2.89851,0.78254,-0.43782,-1.51907,0.08833,0.06567,-0.30382,-0.86207,0.36597,0.07100,1.45570,-0.49534,2.01044,1.56158,0.20392,1.99622,-1.55946,-0.43194,1.22826,-0.72985,0.83215,0.52922,-0.43779,-0.59978,-0.56312,-0.52639,-1.54180,0.98532,0.62808,0.33646,0.19612,0.22899
X6,"ST.NORMAL VAR., M=0, STD=1",0.66287,-0.14366,-0.73848,0.81427,-0.00673,-0.45129,0.20799,0.26193,0.75206,0.69490,-0.86949,-0.59828,-0.12514,0.68014,-0.45234,0.44693,0.19710,0.04303,-0.28842,-0.86407,0.54945,0.68492,-0.10700,-0.96031,-0.72690,0.36786,-1.11769,0.10875,-1.24675,-0.41671,-1.27675,-0.83687,-1.20260,0.40923,-0.95406,-1.55529,-1.26091,0.36445,0.00212,-0.63882,-0.17545,-1.56501,0.62650,-0.31835,0.05269,-2.36381,-1.59407,-0.83328,0.85517,-1.22386,0.72112,-1.23762,-0.55867,-0.77967,-0.08002,0.55046,-0.18101,-0.18293,-2.67807,0.42317,-1.13137,-0.44233,0.47450,-1.02384,-0.14162,-0.81077,-1.51933,1.35359,-2.14829,0.48526,0.34499,-0.85153,1.01192,0.40215,-0.19181,-1.46602,-0.55995,0.07711,2.57218,-0.46866,2.12276,0.51840,-1.01282,-0.15895,0.54265,-1.48609,0.53996,-1.78538,0.60275,-1.39120,-0.01134,-1.29483,1.06051,0.01951,-1.53642,0.32504,0.96640,-0.84990,0.97275,0.58035
X7,"ST.NORMAL VAR., M=0, STD=1",1.79592,0.09272,-2.59748,1.75705,0.24406,-0.40358,1.16888,1.57478,0.09762,-1.43479,-0.81327,-0.31914,0.43073,-0.81898,-0.72908,-0.13719,-0.43519,-0.42171,0.97298,-1.09274,-0.02317,0.31098,-0.71249,-0.19459,0.43166,0.95331,0.50684,1.23297,-0.81642,-0.05354,-1.56580,-1.06546,-1.05261,-1.24027,-0.23167,0.33157,-0.10234,0.03054,0.73044,1.17364,-1.09243,-1.10617,1.24980,-1.75412,0.42762,-2.32353,-0.17625,-1.32068,1.64593,-2.59093,1.07794,0.22566,0.01057,-0.79430,-0.25531,-0.31596,-0.03966,-0.90415,-0.96719,0.46049,-0.94427,-0.54450,-0.06651,-1.45600,-0.53341,0.73075,-0.83474,1.07725,-1.19753,0.87587,-0.08429,-0.05038,-0.30077,-0.38119,1.34054,-0.96929,0.44479,2.06982,1.33302,0.19061,2.84692,-0.01653,-0.42542,-0.21975,-2.27906,-0.53917,2.34512,-1.29013,0.02691,0.18107,-0.22101,-1.53096,-0.85083,-2.15865,-1.33775,0.21626,1.35889,1.55278,-1.07746,-0.43075
X8,"ST.NORMAL VAR., M=0, STD=1",-0.35472,0.56272,-1.88058,1.14610,0.17651,-1.51774,1.73913,2.25796,2.40499,1.85743,1.24330,0.33842,0.16828,0.10370,-0.55495,1.85889,-0.48504,0.21416,2.05279,-0.65150,-0.00058,1.88267,0.03641,-0.75770,0.26644,0.96733,0.16954,0.25701,0.12212,1.18250,-0.58514,-0.28757,-1.29952,0.35370,-1.17169,0.04358,-0.42472,1.44866,-0.54192,-0.31434,-0.23633,0.01862,1.67914,-0.27428,-1.77039,-1.39046,-1.20212,-0.26230,1.39040,-0.67375,0.12925,-0.26654,-0.10727,-2.46366,-0.07377,0.42148,-0.89183,-0.03725,-1.89861,1.48505,-1.31621,-1.50908,-0.13285,-1.38636,0.15389,0.44469,-0.80068,0.58047,-1.90891,0.59438,-0.24673,-1.61499,-0.94428,1.05483,-0.24210,-1.79395,0.14203,0.66472,1.23921,-1.76201,2.35754,-0.13683,0.08988,-0.57993,-2.30503,-0.41241,1.79194,-0.16400,-0.77005,0.18794,-0.37350,-0.29888,0.65057,-1.12576,-2.77832,1.86591,0.26738,0.31905,-0.57065,-0.45867
X9,"ST.NORMAL VAR., M=0, STD=1",0.56200,1.29331,-1.17454,1.94961,-0.06140,-1.10928,0.22326,0.52107,0.36343,0.50682,-1.38408,-0.53219,1.08632,-0.51742,-0.16055,0.34253,-1.04942,0.16040,1.07964,-0.51065,-0.93635,0.77426,-1.50326,-0.14503,0.66554,-0.44328,-0.13664,1.34141,-0.51987,1.14558,-0.73669,-0.84456,-1.16900,-0.35145,-0.69998,0.74069,-0.87515,0.97526,-0.23902,-0.51049,-1.32331,-0.56817,-0.18009,-1.22464,0.00663,-0.92316,-0.49469,-0.35472,0.88327,-1.30449,-0.27717,-0.30207,0.25766,-1.92932,-0.35707,-0.59939,0.55604,1.48278,-0.99236,1.30885,-0.67110,-0.28976,-0.03031,-1.36802,-0.22790,2.16298,-1.13336,-0.03529,-1.25360,-0.30217,2.02983,-0.40648,-0.41974,0.66340,1.36899,-0.99069,0.47478,1.77902,0.66907,0.74592,3.69336,0.41119,-1.91078,0.86221,-0.14660,-1.74782,0.71065,-1.36192,0.74039,0.46109,0.48015,-0.84594,-0.15855,-0.56854,-2.17123,-0.03955,1.11026,0.88025,0.40163,0.16960
X10,"ST.NORMAL VAR., M=0, STD=1",1.28045,-1.28121,-2.07908,1.40649,1.15144,-0.58363,1.80672,1.11382,-0.45867,-0.80318,-1.42948,0.16126,1.13154,-1.03556,0.85857,1.83451,-1.44986,0.73635,-0.27757,0.73352,1.02374,1.08832,-0.82889,0.32727,-0.00804,-0.21763,-0.10645,1.69582,-1.74281,0.32907,-0.62662,-1.39595,-1.64690,-1.97345,-1.96456,0.29614,-0.80467,0.61363,1.39070,0.02494,0.55929,-1.23568,0.32871,-1.39981,-0.18404,-0.36666,0.26610,-2.42859,0.81808,-1.37304,-0.59886,0.28481,-1.56641,-0.65875,-0.54458,-0.46138,0.23227,0.19614,-2.22632,-0.11467,-1.38034,1.34441,0.38451,-1.32186,1.47461,1.01084,-0.67672,0.74361,-1.18712,-0.32529,-0.13742,-0.96120,1.04546,0.13379,1.65647,-0.62619,0.04021,1.08665,2.31496,0.41243,1.91854,0.32379,-0.73743,-0.89318,-1.65020,-0.52039,0.85193,-0.68025,-0.51550,-0.12889,0.71716,0.30003,0.62324,-1.25994,-1.02808,0.35033,1.17017,0.59275,-0.66732,-0.02432
