id,rL,rLrL,rQvrai
1,-1.08848,-1.07259,-1.06647
2,-0.64501,-0.68823,-0.68622
3,-1.05069,-1.04101,-1.07922
4,-1.45948,-1.37108,-1.36096
5,-0.94375,-0.95045,-0.95944
6,-0.97497,-0.97707,-0.93833
7,-0.86189,-0.87996,-0.95519
8,-1.06884,-1.05620,-1.08739
9,-1.10579,-1.08699,-1.03890
10,-0.56176,-0.61273,-0.63193
11,-1.45346,-1.36641,-1.45250
12,-1.13997,-1.11527,-1.13907
13,-0.79363,-0.82039,-0.84210
14,-1.00049,-0.99872,-0.96216
15,-1.23397,-1.19215,-1.14452
16,-0.93147,-0.93994,-0.92811
17,-0.82250,-0.84567,-0.77248
18,-0.99494,-0.99402,-0.95752
19,-0.39705,-0.46023,-0.42383
20,-0.70379,-0.74090,-0.71308
21,-1.24561,-1.20158,-1.22590
22,-1.24189,-1.19857,-1.17204
23,-1.31867,-1.26027,-1.21967
24,-0.83527,-0.85681,-0.76595
25,-0.93889,-0.94629,-0.94119
26,-0.91313,-0.92420,-0.97628
27,-0.68385,-0.72309,-0.81768
28,-0.38769,-0.45144,-0.36726
29,-0.61239,-0.65877,-0.57118
30,-0.88241,-0.89773,-0.91101
31,-1.29560,-1.24182,-1.19762
32,-1.08106,-1.06641,-1.16316
33,-1.03848,-1.03076,-1.05020
34,-1.30576,-1.24996,-1.32415
35,-1.00980,-1.00659,-1.04414
36,-1.00596,-1.00335,-0.95478
37,-0.46569,-0.52428,-0.54561
38,-1.36630,-1.29809,-1.35928
39,-1.35180,-1.28661,-1.28688
40,-0.84058,-0.86144,-0.75842
41,-0.84465,-0.86498,-0.88016
42,-0.98960,-0.98950,-1.10588
43,-0.46997,-0.52825,-0.52769
44,-0.75639,-0.78759,-0.61696
45,-0.54918,-0.60122,-0.69499
46,-1.22771,-1.18707,-1.15152
47,-1.28603,-1.23415,-1.18290
48,-0.85015,-0.86976,-0.92372
49,-1.06444,-1.05253,-1.01690
50,-0.75558,-0.78687,-0.83974
51,0.95527,0.94847,0.96483
52,0.97508,0.97118,0.91439
53,0.86422,0.84486,0.80975
54,0.64005,0.59515,0.59791
55,1.23315,1.27251,1.22533
56,0.44601,0.38520,0.42038
57,1.08914,1.10310,1.02365
58,0.46375,0.40416,0.41825
59,0.97307,0.96887,0.94357
60,0.75742,0.72493,0.73775
61,1.51696,1.61565,1.63366
62,1.45353,1.53790,1.48299
63,0.66890,0.62685,0.64765
64,1.01785,1.02042,1.04437
65,0.94277,0.93417,0.93674
66,1.49073,1.58342,1.53546
67,0.90829,0.89485,0.87212
68,1.10241,1.11859,1.12595
69,1.19098,1.22258,1.24771
70,0.99392,0.99283,0.98915
71,0.95579,0.94906,0.95535
72,1.38260,1.45167,1.46425
73,1.10472,1.12128,1.17530
74,0.58255,0.53233,0.52786
75,0.89248,0.87688,0.85200
76,0.98788,0.98588,1.03137
77,0.81703,0.79165,0.81779
78,0.99485,0.99390,1.01274
79,0.74133,0.70701,0.65439
80,1.16795,1.19542,1.26285
81,1.30742,1.36112,1.41423
82,0.74931,0.71590,0.60131
83,0.93152,0.92132,0.92943
84,0.63771,0.59258,0.50893
85,0.98908,0.98727,0.98715
86,1.12461,1.14454,1.08058
87,0.70139,0.66271,0.64971
88,1.21300,1.24862,1.22312
89,1.45658,1.54162,1.50346
90,0.58144,0.53112,0.59445
91,0.49948,0.44247,0.46400
92,1.17388,1.20241,1.29304
93,1.01744,1.01994,1.07026
94,1.11162,1.12934,1.03774
95,0.76781,0.73652,0.72569
96,0.50300,0.44626,0.50386
97,1.19398,1.22613,1.15707
98,0.94927,0.94160,1.05693
99,0.93149,0.92128,0.95478
100,0.69578,0.65651,0.65101
