id,rL,rLrL,rQvrai
1,-0.95653,-0.96066,-0.94199
2,-0.93663,-0.94364,-0.99831
3,-1.04800,-1.03812,-1.07156
4,-1.27321,-1.22344,-1.21995
5,-0.67737,-0.71643,-0.76016
6,-1.46814,-1.37766,-1.34254
7,-0.82205,-0.84447,-0.92132
8,-1.45032,-1.36380,-1.34976
9,-0.93865,-0.94537,-0.96843
10,-1.15529,-1.12737,-1.11323
11,-0.39225,-0.45483,-0.43162
12,-0.45597,-0.51436,-0.56469
13,-1.24423,-1.20002,-1.17829
14,-0.89366,-0.90668,-0.88009
15,-0.96909,-0.97137,-0.96661
16,-0.41861,-0.47952,-0.52267
17,-1.00372,-1.00078,-1.02159
18,-0.80871,-0.83280,-0.82244
19,-0.71973,-0.75425,-0.72560
20,-0.91771,-0.92740,-0.92866
21,-0.95601,-0.96022,-0.95165
22,-0.52723,-0.58021,-0.56316
23,-0.80639,-0.83077,-0.77356
24,-1.33098,-1.26974,-1.27378
25,-1.01961,-1.01421,-1.03726
26,-0.92377,-0.93261,-0.88454
27,-1.09541,-1.07777,-1.04996
28,-0.91677,-0.92659,-0.90524
29,-1.17146,-1.14067,-1.19229
30,-0.74288,-0.77480,-0.70380
31,-0.60276,-0.64916,-0.59182
32,-1.16344,-1.13407,-1.24786
33,-0.98039,-0.98099,-0.97072
34,-1.27556,-1.22533,-1.30860
35,-0.92256,-0.93157,-0.92928
36,-0.78641,-0.81323,-0.87434
37,-1.21159,-1.17350,-1.18553
38,-0.69761,-0.73454,-0.75660
39,-0.45291,-0.51151,-0.54501
40,-1.33209,-1.27063,-1.20663
41,-1.41443,-1.33574,-1.31408
42,-0.73691,-0.76951,-0.67519
43,-0.89408,-0.90704,-0.85398
44,-0.79946,-0.82469,-0.91362
45,-1.14486,-1.11876,-1.12831
46,-1.41089,-1.33297,-1.27507
47,-0.71672,-0.75157,-0.81745
48,-0.96256,-0.96580,-0.84782
49,-0.98042,-0.98101,-0.94527
50,-1.21722,-1.17809,-1.18263
51,0.46396,0.40464,0.36333
52,1.09855,1.11317,1.12556
53,1.19753,1.22917,1.18680
54,0.55502,0.50256,0.50980
55,0.95495,0.94750,0.90027
56,0.93486,0.92458,0.88183
57,1.20028,1.23241,1.19132
58,1.25821,1.30101,1.26723
59,1.28729,1.33564,1.32655
60,1.36637,1.43046,1.37834
61,0.97466,0.97006,0.95450
62,0.54029,0.48664,0.48518
63,1.23773,1.27670,1.24101
64,0.93228,0.92163,1.00608
65,0.94980,0.94163,0.87086
66,1.11551,1.13294,1.13879
67,0.75464,0.72163,0.63549
68,0.86700,0.84758,0.84779
69,0.76502,0.73318,0.76379
70,0.66278,0.62008,0.56276
71,1.04820,1.05473,1.06024
72,0.44731,0.38687,0.38370
73,0.84284,0.82034,0.77286
74,1.47302,1.55983,1.68565
75,0.52093,0.46576,0.42492
76,1.11406,1.13124,1.04842
77,0.64666,0.60239,0.64579
78,0.92222,0.91019,1.03932
79,0.47446,0.41587,0.69188
80,0.61207,0.56456,0.52479
81,0.99316,0.99128,1.02314
82,0.76865,0.73723,0.67673
83,1.10875,1.12505,1.22786
84,0.72388,0.68748,0.76891
85,0.82005,0.79472,0.74758
86,1.34470,1.40439,1.44684
87,1.09197,1.10550,1.11489
88,0.75081,0.71737,0.75751
89,1.25764,1.30034,1.34580
90,1.10161,1.11673,1.06928
91,1.36679,1.43096,1.32640
92,0.62804,0.58200,0.53264
93,1.53612,1.63718,1.61577
94,1.28872,1.33735,1.32728
95,0.86814,0.84887,0.79989
96,1.14906,1.17218,1.23735
97,0.45497,0.39504,0.32736
98,1.09826,1.11283,1.17079
99,1.07160,1.08184,1.14016
100,1.10179,1.11694,1.06351
