id,rL,rLrL,rQvrai
1,-1.01523,-1.01293,-0.98014
2,-1.04357,-1.03686,-1.03251
3,-1.21822,-1.18161,-1.19338
4,-0.78044,-0.81002,-0.83470
5,-1.26864,-1.22254,-1.23174
6,-1.18225,-1.15218,-1.15461
7,-0.93727,-0.94648,-0.93720
8,-0.72127,-0.75755,-0.74177
9,-0.74360,-0.77741,-0.71632
10,-0.90093,-0.91519,-0.96342
11,-1.18672,-1.15585,-1.17793
12,-1.21648,-1.18019,-1.21875
13,-1.38600,-1.31630,-1.21317
14,-1.13472,-1.11299,-1.14706
15,-0.82245,-0.84694,-0.90360
16,-0.74449,-0.77821,-0.71324
17,-0.67150,-0.71302,-0.67661
18,-0.80664,-0.83308,-0.83320
19,-1.13542,-1.11357,-1.15790
20,-0.88557,-0.90191,-0.90716
21,-0.61281,-0.66002,-0.67504
22,-0.89880,-0.91336,-0.90194
23,-0.75344,-0.78615,-0.72079
24,-0.65959,-0.70230,-0.66901
25,-1.14767,-1.12370,-1.10137
26,-0.81174,-0.83755,-0.80995
27,-0.78569,-0.81464,-0.81293
28,-0.76960,-0.80045,-0.69373
29,-0.99199,-0.99322,-1.06982
30,-1.22985,-1.19109,-1.18516
31,-1.27461,-1.22736,-1.29513
32,-0.66412,-0.70638,-0.64520
33,-1.14897,-1.12477,-1.19828
34,-0.49349,-0.55064,-0.61966
35,-1.03497,-1.02961,-0.98738
36,-1.18060,-1.15083,-1.12487
37,-1.45202,-1.36813,-1.39549
38,-1.17703,-1.14789,-1.17280
39,-1.53993,-1.43611,-1.49056
40,-1.27557,-1.22813,-1.14808
41,-0.83239,-0.85564,-0.83488
42,-1.10431,-1.08773,-1.10179
43,-1.23148,-1.19241,-1.20909
44,-0.96585,-0.97096,-0.97946
45,-0.66875,-0.71054,-0.66379
46,-0.57025,-0.62124,-0.58041
47,-0.83653,-0.85925,-0.91877
48,-0.83160,-0.85494,-0.82913
49,-1.03193,-1.02705,-1.03408
50,-0.54632,-0.59933,-0.63456
51,0.96507,0.96137,1.01499
52,1.07459,1.08796,1.05999
53,0.98948,0.98942,0.94294
54,0.98736,0.98699,0.99364
55,0.85500,0.83598,0.86124
56,1.13142,1.15436,1.15105
57,0.80229,0.77659,0.74321
58,1.00935,1.01234,1.04205
59,1.03457,1.04149,1.07821
60,1.02682,1.03253,0.99545
61,0.79459,0.76794,0.77156
62,1.11779,1.13839,1.16033
63,1.29548,1.34883,1.29918
64,0.82153,0.79821,0.82265
65,0.82305,0.79993,0.91099
66,1.12347,1.14505,1.05008
67,0.84200,0.82129,0.80633
68,0.70395,0.66690,0.65793
69,1.18338,1.21552,1.23452
70,0.96640,0.96290,0.90112
71,1.40627,1.48247,1.54311
72,1.11547,1.13568,1.07678
73,0.92975,0.92094,0.98164
74,0.48546,0.42849,0.45683
75,0.57651,0.52696,0.46540
76,0.82186,0.79859,0.82493
77,0.58209,0.53303,0.57853
78,0.82872,0.80631,0.73478
79,0.79735,0.77104,0.87442
80,1.54103,1.64753,1.60187
81,0.71713,0.68153,0.67704
82,0.75994,0.72918,0.73506
83,0.93350,0.92522,0.95018
84,1.30906,1.36511,1.27037
85,0.66565,0.62459,0.53799
86,0.77222,0.74289,0.68941
87,0.97333,0.97086,1.00709
88,1.05266,1.06246,1.05516
89,1.20376,1.23960,1.28531
90,0.99096,0.99113,0.96002
91,1.44865,1.53408,1.56580
92,1.04131,1.04930,1.08762
93,1.13284,1.15604,1.24711
94,0.91047,0.89894,0.91754
95,0.83741,0.81612,0.77927
96,1.19170,1.22534,1.17139
97,1.03162,1.03808,1.09404
98,0.64359,0.60032,0.55497
99,1.00332,1.00538,0.93014
100,1.07207,1.08503,1.08636
