id,rL,rLrL,rQvrai
1,-1.35101,-1.28617,-1.22673
2,-1.10995,-1.08898,-1.14671
3,-1.10395,-1.08396,-1.02680
4,-0.81256,-0.83405,-0.84804
5,-0.65840,-0.69686,-0.58486
6,-1.13579,-1.11052,-1.08328
7,-0.93775,-0.94294,-0.96166
8,-0.97934,-0.97860,-0.95473
9,-0.46624,-0.52099,-0.57155
10,-1.18232,-1.14906,-1.13859
11,-0.93271,-0.93860,-0.94480
12,-0.64173,-0.68181,-0.67410
13,-1.10274,-1.08295,-1.08163
14,-0.92528,-0.93219,-0.92924
15,-0.94451,-0.94875,-0.95896
16,-1.01575,-1.00962,-0.94623
17,-0.84131,-0.85926,-0.82963
18,-0.75141,-0.78004,-0.80022
19,-1.03031,-1.02197,-1.02713
20,-0.96687,-0.96794,-1.00235
21,-1.44667,-1.36208,-1.32711
22,-0.78537,-0.81010,-0.85088
23,-1.14625,-1.11921,-1.18358
24,-0.99713,-0.99378,-0.95585
25,-1.38376,-1.31231,-1.18922
26,-1.13462,-1.10954,-1.15037
27,-0.98747,-0.98555,-1.07594
28,-0.80929,-0.83118,-0.85392
29,-0.89865,-0.90918,-0.88435
30,-0.09535,-0.16638,-0.19920
31,-0.77855,-0.80408,-0.82036
32,-0.67953,-0.71586,-0.78908
33,-0.86077,-0.87625,-0.84989
34,-1.04805,-1.03697,-1.10570
35,-0.51565,-0.56672,-0.58353
36,-1.26676,-1.21821,-1.15076
37,-1.08294,-1.06635,-1.14693
38,-0.72534,-0.75686,-0.76318
39,-1.17676,-1.14447,-1.13827
40,-1.32430,-1.26474,-1.18679
41,-1.30362,-1.24807,-1.27481
42,-0.92760,-0.93419,-1.00297
43,-1.05949,-1.04662,-1.05471
44,-0.84267,-0.86045,-0.85671
45,-0.66799,-0.70549,-0.71655
46,-1.03022,-1.02189,-0.96596
47,-0.91379,-0.92228,-0.85280
48,-1.37886,-1.30841,-1.27599
49,-0.80264,-0.82533,-0.88448
50,-0.85373,-0.87012,-0.90643
51,0.78164,0.75170,0.76512
52,1.03232,1.03468,1.04515
53,0.57039,0.52033,0.48816
54,1.13287,1.15075,1.16178
55,0.59847,0.55071,0.54162
56,1.01873,1.01910,1.04944
57,0.24344,0.17504,0.19307
58,1.25446,1.29307,1.36080
59,0.52319,0.46952,0.44822
60,0.88722,0.86977,0.87893
61,1.23520,1.27038,1.34207
62,1.51116,1.60061,1.56875
63,1.16294,1.18575,1.09021
64,1.08708,1.09770,1.02513
65,1.09415,1.10588,1.15458
66,1.31285,1.36218,1.25103
67,0.89141,0.87449,0.89568
68,0.80721,0.78015,0.78169
69,1.01903,1.01944,1.02756
70,1.22703,1.26077,1.32165
71,0.93378,0.92235,0.93021
72,1.18410,1.21045,1.22480
73,1.52643,1.61919,1.58587
74,1.15841,1.18047,1.26189
75,0.70877,0.67116,0.63268
76,1.42017,1.49050,1.51877
77,1.11158,1.12605,1.03747
78,0.44196,0.38284,0.36865
79,1.02917,1.03106,1.01793
80,0.63878,0.59453,0.66958
81,0.99709,0.99436,1.00481
82,0.96331,0.95587,1.03214
83,0.61263,0.56607,0.55514
84,0.46480,0.40712,0.40516
85,0.52918,0.47595,0.46271
86,1.31976,1.37039,1.46921
87,0.92705,0.91473,0.87824
88,0.72721,0.69147,0.67617
89,1.10739,1.12120,1.13271
90,1.06691,1.07444,1.10418
91,1.37801,1.43989,1.37375
92,1.09188,1.10326,1.15504
93,1.13768,1.15634,1.19185
94,0.82099,0.79551,0.75041
95,1.17865,1.20408,1.17244
96,0.96082,0.95303,0.87274
97,0.40800,0.34689,0.37429
98,0.76677,0.73520,0.76271
99,0.90432,0.88905,0.88450
100,0.90736,0.89248,0.83690
